# Train on 1K_60 from random:
counter=3500	 PSNR=28.561768	 SSIM=0.993115
counter=4000	 PSNR=28.472617	 SSIM=0.993043
counter=4500	 PSNR=28.811480	 SSIM=0.993393
counter=5000	 PSNR=28.752038	 SSIM=0.993360
counter=5500	 PSNR=28.558516	 SSIM=0.993110
counter=6000	 PSNR=28.493130	 SSIM=0.993120
counter=6500	 PSNR=28.450935	 SSIM=0.992996
counter=7000	 PSNR=28.807657	 SSIM=0.993351
counter=7500	 PSNR=28.625544	 SSIM=0.993167
counter=8000	 PSNR=28.955945	 SSIM=0.993589
counter=8500	 PSNR=28.739166	 SSIM=0.993313
counter=9000	 PSNR=28.377198	 SSIM=0.992916
counter=9500	 PSNR=28.986398	 SSIM=0.993560
counter=10000	 PSNR=28.733943	 SSIM=0.993293
counter=10500	 PSNR=28.571525	 SSIM=0.993155
counter=11000	 PSNR=28.632656	 SSIM=0.993157
counter=11500	 PSNR=28.596672	 SSIM=0.993267
counter=12000	 PSNR=28.561063	 SSIM=0.993171
counter=12500	 PSNR=28.457772	 SSIM=0.993120
counter=13000	 PSNR=28.667397	 SSIM=0.993289
counter=13500	 PSNR=28.583488	 SSIM=0.993169
counter=14000	 PSNR=28.365601	 SSIM=0.992853
counter=14500	 PSNR=28.622822	 SSIM=0.993110
counter=15000	 PSNR=28.766007	 SSIM=0.993368
counter=15500	 PSNR=28.616296	 SSIM=0.993214
counter=16000	 PSNR=28.616713	 SSIM=0.993128
counter=16500	 PSNR=28.809302	 SSIM=0.993468
counter=17000	 PSNR=28.355190	 SSIM=0.992948
counter=17500	 PSNR=28.858036	 SSIM=0.993434
counter=18000	 PSNR=28.716709	 SSIM=0.993361
counter=18500	 PSNR=28.784139	 SSIM=0.993388
counter=19000	 PSNR=28.458780	 SSIM=0.992837
counter=19500	 PSNR=28.488036	 SSIM=0.993048
counter=20000	 PSNR=28.417418	 SSIM=0.993088
counter=20500	 PSNR=28.687183	 SSIM=0.993325
counter=21000	 PSNR=28.900166	 SSIM=0.993489
counter=21500	 PSNR=28.630167	 SSIM=0.993249
counter=22000	 PSNR=28.774181	 SSIM=0.993446
counter=22500	 PSNR=28.629990	 SSIM=0.993327
counter=23000	 PSNR=28.894818	 SSIM=0.993596
counter=23500	 PSNR=28.509857	 SSIM=0.993190
counter=24000	 PSNR=28.815715	 SSIM=0.993480
counter=24500	 PSNR=28.632672	 SSIM=0.993336
counter=25000	 PSNR=28.645491	 SSIM=0.993251
counter=25500	 PSNR=28.851355	 SSIM=0.993471
counter=26000	 PSNR=28.652954	 SSIM=0.993310
counter=26500	 PSNR=28.960796	 SSIM=0.993592
counter=27000	 PSNR=28.901772	 SSIM=0.993583
counter=27500	 PSNR=28.764903	 SSIM=0.993426
counter=28000	 PSNR=28.753945	 SSIM=0.993372
counter=28500	 PSNR=28.881444	 SSIM=0.993450
counter=29000	 PSNR=28.868951	 SSIM=0.993495
counter=29500	 PSNR=28.493338	 SSIM=0.993140
